Cell_ID,Soil_ID,Mgmt_Field_ID,Reach_ID,Reach_Location_Code,Cell_Area,Time_of_Conc,Avg_Elevation,RCN_Calib_ID,Avg_Land_Slope,Aspect,RUSLE_ls_Fctr,RCN_Rtn_Calib_Fctr,Secondary_Climate_File_ID,Sheet_Flow_Mannings_n,Geology_ID,Conc_Flow_Slope,Conc_Flow_Length,Hydraulic_Geom_ID,Conc_Flow_Hydraulic_Depth,Conc_Flow_Mannings_n,Sheet_Flow_Slope,Sheet_Flow_Length,Shallow_Conc_Flow_Slope,Shallow_Conc_Flow_Length,Delivery_Ratio,Constant_USLE_C_Fctr,Constant_USLE_P_Fctr,All_OC_Calib_Fctr,All_N_Calib_Fctr,All_P_Calib_Fctr,Sheet_and_Rill_Erosion_Calib_Fctr,Gullies_Erosion_Calib_Fctr,Input_Units_Code
643,,,64,1,3.3885,,98.30,,0.10460,16.70,0.897,,,,,0.07084,44.38,,,,0.04768,50.00,0.08338,50.00,,,,,,,,,1
651,,,65,0,19.5660,,103.51,,0.04880,38.90,0.416,,,,,0.01640,725.49,,,,0.03367,50.00,0.02033,50.00,,,,,,,,,1
652,,,65,1,15.9093,,100.61,,0.05820,308.63,0.494,,,,,0.01503,668.90,,,,0.02650,50.00,0.02251,50.00,,,,,,,,,1
653,,,65,1,6.1416,,97.75,,0.07227,61.10,0.597,,,,,0.02187,269.79,,,,0.04307,50.00,0.03693,50.00,,,,,,,,,1
661,,,66,0,15.2388,,98.96,,0.06791,2.21,0.580,,,,,0.02213,585.50,,,,0.03085,50.00,0.02801,50.00,,,,,,,,,1
662,,,66,1,2.5182,,91.04,,0.11228,322.37,0.956,,,,,0.01877,136.48,,,,0.10903,50.00,0.08973,50.00,,,,,,,,,1
663,,,66,1,3.5424,,93.43,,0.11583,91.99,1.017,,,,,0.10078,87.32,,,,0.01567,50.00,0.02433,50.00,,,,,,,,,1
671,,,67,0,23.7123,,92.25,,0.08967,336.50,0.801,,,,,0.02322,835.04,,,,0.02519,50.00,0.01508,50.00,,,,,,,,,1
672,,,67,1,3.2148,,79.56,,0.01137,209.86,0.108,,,,,0.00197,58.97,,,,0.01800,50.00,0.00368,50.00,,,,,,,,,1
673,,,67,1,4.7997,,82.48,,0.05007,346.99,0.427,,,,,0.04507,206.10,,,,0.04370,50.00,0.06850,50.00,,,,,,,,,1
681,,,68,0,18.5157,,103.37,,0.04093,302.88,0.352,,,,,0.01187,640.85,,,,0.02251,50.00,0.03533,50.00,,,,,,,,,1
682,,,68,1,51.3720,,96.91,,0.07391,248.52,0.627,,,,,0.01228,867.86,,,,0.02968,50.00,0.03718,50.00,,,,,,,,,1
683,,,68,1,53.8173,,96.85,,0.08917,35.97,0.764,,,,,0.01448,637.78,,,,0.01200,50.00,0.02937,50.00,,,,,,,,,1
691,,,69,0,17.6913,,86.47,,0.06516,305.69,0.544,,,,,0.02238,951.18,,,,0.02884,50.00,0.01909,50.00,,,,,,,,,1
692,,,69,1,0.5454,,77.56,,0.01773,251.41,0.154,,,,,0.00247,47.60,,,,0.00800,50.00,0.00600,50.00,,,,,,,,,1
693,,,69,1,0.2088,,78.44,,0.12140,57.87,0.967,,,,,0.00001,0.00,,,,0.04600,50.00,0.01359,14.71,,,,,,,,,1
702,,,70,1,17.6976,,90.83,,0.06940,241.94,0.591,,,,,0.01523,558.01,,,,0.04605,50.00,0.08197,50.00,,,,,,,,,1
703,,,70,1,14.3136,,89.50,,0.07075,15.74,0.630,,,,,0.01352,379.02,,,,0.04350,50.00,0.11801,50.00,,,,,,,,,1
711,,,71,0,15.2757,,100.43,,0.09493,306.59,0.828,,,,,0.02594,555.09,,,,0.04305,50.00,0.01895,50.00,,,,,,,,,1
712,,,71,1,2.9412,,94.35,,0.09961,200.82,0.849,,,,,0.04245,136.35,,,,0.03770,50.00,0.09454,50.00,,,,,,,,,1
713,,,71,1,1.6713,,94.85,,0.09278,336.46,0.787,,,,,0.05432,121.78,,,,0.04451,50.00,0.08118,50.00,,,,,,,,,1
721,,,72,0,15.8400,,99.52,,0.08185,339.07,0.699,,,,,0.02419,546.29,,,,0.03451,50.00,0.03083,50.00,,,,,,,,,1
722,,,72,1,1.1844,,92.76,,0.08463,302.21,0.702,,,,,0.06543,66.11,,,,0.05563,50.00,0.06986,50.00,,,,,,,,,1
723,,,72,1,1.1781,,93.83,,0.08770,92.20,0.729,,,,,0.06123,94.05,,,,0.04574,50.00,0.07209,50.00,,,,,,,,,1
731,,,73,0,16.4808,,93.43,,0.11496,300.71,1.060,,,,,0.02762,753.33,,,,0.02400,50.00,0.03391,50.00,,,,,,,,,1
732,,,73,1,8.0955,,79.10,,0.05894,264.91,0.521,,,,,0.02334,496.21,,,,0.08052,50.00,0.01186,50.00,,,,,,,,,1
733,,,73,1,5.5044,,84.51,,0.11087,335.06,1.002,,,,,0.04401,294.25,,,,0.05942,50.00,0.12757,50.00,,,,,,,,,1
741,,,74,0,15.0075,,97.41,,0.10225,270.56,0.921,,,,,0.03107,497.65,,,,0.04970,50.00,0.03867,50.00,,,,,,,,,1
742,,,74,1,14.0517,,85.58,,0.10066,206.88,0.893,,,,,0.01372,200.42,,,,0.00400,50.00,0.00400,50.00,,,,,,,,,1
743,,,74,1,36.5751,,85.38,,0.11264,316.55,1.021,,,,,0.03430,658.87,,,,0.01000,50.00,0.04805,50.00,,,,,,,,,1
