saverest,areasymbol,areaname,musym,hydgrp,kwfact,albedodry_r,restrictiondepthr,partdensity,compname,texdesc,hzdepb_r,dbovendry_r,claytotal_r,silttotal_r,sandtotal_r,fragvol,sandvf_r,caco3_r,ksat_r,wthirdbar_r,wfifteenbar_r,om_r,ph1to1h2o_r,comppct_r
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",Ca,C/D,.28,0.17,>200,,Pewamo,Silty clay,86,1.83,42,42,16,4,4,0,2.82,31.1,24.2,1.5,6.9,6
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",Ca,A/D,,0.09,>200,,Carlisle,Muck,90,0.75,,,,14,,0,21.7,55.7,14.2,85,,85
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",Ca,C/D,.28,0.17,>200,,Pewamo,Silty clay,120,1.89,42,42,16,4,4,0,2.82,29.1,20.6,1,7.2,6
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",Ca,C/D,.32,0.17,>200,,Pewamo,Clay loam,145,1.9,35,44,21,7,6,15,2.82,30.4,23.1,0.75,7.4,6
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",Ca,A/D,,0.09,>200,,Carlisle,Woody muck,200,0.7,,,,20,,0,21.7,56.1,10.1,80,,85
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",Ca,C/D,.32,0.17,>200,,Pewamo,Clay loam,200,1.9,33,44,23,7,6,23,2.82,31.6,21.5,0.5,7.8,6
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",Ca,B/D,.43,0.04,>200,,Linwood,Silt loam,200,1.87,20,52,28,5,8,15,7.76,28.2,14.1,0.5,7.4,9
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",DgA,D,.43,0.3,>200,,Del Rey,Silt loam,25,1.46,22.5,52.7,24.8,4,9.9,0,9.17,29.9,15.6,2.5,5.9,85
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",DgA,D,.37,0.3,>200,,Del Rey,Silty clay loam,76,1.75,39,53.9,7.1,4,2.5,5,0.92,34.9,24.2,0.5,6.5,85
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",DgA,D,.49,0.3,>200,,Del Rey,Silty clay loam,152,1.83,30,50,20,4,12.2,22,0.92,32,19,0.1,8.2,85
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",DmA,B/D,.28,0.3,>200,,Digby,Loam,20,1.36,16,40.2,43.8,11,12.3,0,9.17,26.1,11.4,3,6.5,95
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",DmA,B/D,.32,0.3,>200,,Digby,Clay loam,112,1.66,27,37.8,35.2,14,10.5,0,9.17,29.2,17.2,0.75,6.2,95
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",DmA,B/D,.05,0.3,>200,,Digby,Stratified gravelly sand to gravelly sandy loam,152,1.48,9,16,75,18,10,20,91.74,12.8,4.7,0.2,7.9,95
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",DmB,B/D,.28,0.3,>200,,Digby,Loam,20,1.36,16,40.2,43.8,11,12.3,0,9.17,26.1,11.4,3,6.5,95
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",DmB,B/D,.32,0.3,>200,,Digby,Clay loam,107,1.66,27,37.8,35.2,14,10.5,0,9.17,29.2,17.2,0.75,6.2,95
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",DmB,B/D,.05,0.3,>200,,Digby,Stratified gravelly sand to gravelly sandy loam,152,1.48,9,16,75,18,10,20,91.74,12.8,4.7,0.2,7.9,95
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",Ed,B/D,,0.16,>200,,Edwards,Muck,71,,,,0,,0,0,21.88,,,65,,100
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",Ed,B/D,.37,0.16,>200,,Edwards,Marl,152,1.36,10,45,45,2,5,70,9.17,,,1.25,,100
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",Ee,C,.37,0.29,>200,2.58,Genesee,Silt loam,20,1.51,23,62,15,0,8,0,9.17,30.3,15.8,2.5,7.5,10
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",Ee,B/D,.32,0.29,>200,2.57,Shoals,Silt loam,20,1.58,24,54,22,0,9,0,9.17,31.5,17.6,3,7,6
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",Ee,A/D,.32,0.3,>200,2.57,Eel,Silt loam,23,1.56,22.5,53.5,24,,10,0,10.1,30.9,16.8,3,7,80
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",Ee,B/D,.24,0.17,>200,2.56,Sloan,Silty clay loam,30,1.55,28,54,18,0,5,0,9.17,31.9,18.2,4,7,4
9/9/2021 6:56:30 PM,OH107,"Mercer County, Ohio",Ee,A/D,.37,0.3,>200,2.58,Eel,Silt loam,38,1.55,25,52,23,,10,0,10.1,30.8,16.5,2,7.3,80
