Cell_ID,Receiving_Reach_ID,Receiving_Reach_Location_[0=up;1=dn],Drainage_Area_[ha],Average_Elevation_[m],Average_Aspect_[deg],Land_Slope_[m/m],Sheet_Flow_Slope_[m/m],Sheet_Flow_Length_[m],Shallow_Concentrated_Flow_Slope_[m/m],Shallow_Concentrated_Flow_Length_[m],Concentrated_Flow_Slope_[m/m],Concentrated_Flow_Length_[m],LS_Factor,Aspect_Correlation,Orphan_Raster_Code_[T/F]
5952,595,1,3.4700,181.43,181.76,0.00746,0.00200,50.00,0.00200,50.00,0.00482,105.71,0.124,0.7242,F
5953,595,1,2.7200,181.47,335.97,0.00869,0.00400,50.00,0.00390,50.00,0.00280,162.63,0.145,0.6873,F
5962,596,1,2.9900,181.68,60.07,0.00361,0.00200,50.00,0.00399,50.00,0.00001,79.50,0.072,0.5271,F
5963,596,1,4.4900,181.81,237.68,0.00481,0.00683,50.00,0.00517,50.00,0.00181,221.27,0.088,0.7673,F
5971,597,0,10.1100,184.06,150.41,0.03806,0.05200,50.00,0.00599,50.00,0.00027,376.42,0.616,0.4746,F
5972,597,1,8.6300,181.80,49.53,0.00260,0.00200,50.00,0.00200,50.00,0.00054,188.49,0.059,0.5019,F
5973,597,1,22.0600,186.48,171.88,0.03010,0.01521,50.00,0.01479,50.00,0.01411,645.12,0.458,0.5811,F
5981,598,0,11.3300,198.22,212.71,0.01310,0.00434,50.00,0.00790,50.00,0.00978,420.56,0.197,0.6475,F
5982,598,1,26.3000,189.04,199.47,0.02474,0.01121,50.00,0.01781,50.00,0.01311,732.05,0.353,0.6872,F
5983,598,1,9.7700,191.81,248.74,0.02919,0.00600,50.00,0.00401,50.00,0.01799,472.34,0.401,0.6705,F
5992,599,1,0.8900,181.53,143.80,0.00448,0.00200,50.00,0.00201,50.00,0.00362,21.92,0.087,0.6480,F
5993,599,1,11.2700,182.18,305.19,0.00535,0.01083,50.00,0.00317,50.00,0.00258,621.99,0.095,0.6579,F
6001,600,0,10.5700,185.78,204.17,0.03377,0.01151,50.00,0.00049,50.00,0.01923,468.20,0.480,0.6950,F
6002,600,1,4.9900,182.10,130.72,0.00516,0.01951,50.00,0.01683,50.00,0.00359,246.07,0.093,0.6683,F
6003,600,1,3.8500,182.23,263.61,0.00619,0.01234,50.00,0.00366,50.00,0.00278,180.21,0.109,0.5563,F
6012,601,1,2.4700,181.82,195.30,0.00413,0.00400,50.00,0.00201,50.00,0.00325,123.28,0.084,0.6282,F
6013,601,1,1.1400,181.62,321.38,0.00228,0.00200,50.00,0.00200,50.00,0.00001,19.14,0.070,0.6528,F
6022,602,1,2.5000,182.21,209.49,0.00593,0.00600,50.00,0.00600,50.00,0.00129,61.92,0.102,0.7613,F
6023,602,1,1.8900,182.09,285.62,0.00547,0.00800,50.00,0.00400,50.00,0.00327,116.07,0.100,0.7016,F
6031,603,0,11.0100,194.55,222.86,0.02751,0.00600,50.00,0.00566,50.00,0.01955,527.84,0.391,0.7152,F
6032,603,1,1.8000,185.92,164.85,0.03239,0.00917,50.00,0.00766,50.00,0.00502,61.57,0.474,0.8261,F
6033,603,1,6.0100,187.65,225.93,0.03786,0.03243,50.00,0.04418,50.00,0.02152,454.41,0.532,0.7452,F
6041,604,0,10.3700,190.87,225.87,0.03994,0.02443,50.00,0.04857,50.00,0.02368,473.05,0.566,0.8329,F
