Cell_ID,Soil_ID,Mgmt_Field_ID,Reach_ID,Reach_Location_Code,Cell_Area,Time_of_Conc,Avg_Elevation,RCN_Calib_ID,Avg_Land_Slope,Aspect,RUSLE_ls_Fctr,RCN_Rtn_Calib_Fctr,Secondary_Climate_File_ID,Sheet_Flow_Mannings_n,Geology_ID,Conc_Flow_Slope,Conc_Flow_Length,Hydraulic_Geom_ID,Conc_Flow_Hydraulic_Depth,Conc_Flow_Mannings_n,Sheet_Flow_Slope,Sheet_Flow_Length,Shallow_Conc_Flow_Slope,Shallow_Conc_Flow_Length,Delivery_Ratio,Constant_USLE_C_Fctr,Constant_USLE_P_Fctr,All_OC_Calib_Fctr,All_N_Calib_Fctr,All_P_Calib_Fctr,Sheet_and_Rill_Erosion_Calib_Fctr,Gullies_Erosion_Calib_Fctr,Input_Units_Code
4291,,,429,0,10.1700,,176.52,,0.01181,173.75,0.176,,,,,0.00059,854.77,,,,0.00600,50.00,0.00200,50.00,,,,,,,,,1
4292,,,429,1,18.0600,,176.02,,0.00430,147.64,0.080,,,,,0.00113,708.91,,,,0.00283,50.00,0.00118,50.00,,,,,,,,,1
4293,,,429,1,15.2800,,176.03,,0.00526,243.65,0.093,,,,,0.00151,449.91,,,,0.00400,50.00,0.00049,50.00,,,,,,,,,1
4301,,,430,0,10.6500,,175.92,,0.00427,189.34,0.081,,,,,0.00062,488.20,,,,0.00600,50.00,0.00001,50.00,,,,,,,,,1
4302,,,430,1,19.6300,,175.67,,0.00461,159.24,0.086,,,,,0.00093,648.91,,,,0.00200,50.00,0.00001,50.00,,,,,,,,,1
4303,,,430,1,4.5500,,175.75,,0.00696,260.01,0.111,,,,,0.00129,78.14,,,,0.00483,50.00,0.00717,50.00,,,,,,,,,1
4311,,,431,0,14.9000,,174.85,,0.00821,161.55,0.129,,,,,0.00193,595.77,,,,0.00400,50.00,0.00108,50.00,,,,,,,,,1
4312,,,431,1,31.9500,,172.44,,0.00783,83.88,0.118,,,,,0.00047,354.35,,,,0.00200,50.00,0.00269,50.00,,,,,,,,,1
4313,,,431,1,61.5400,,173.93,,0.01369,217.16,0.201,,,,,0.00482,700.98,,,,0.00200,50.00,0.00449,50.00,,,,,,,,,1
4321,,,432,0,10.0000,,174.35,,0.00720,181.19,0.117,,,,,0.00085,473.70,,,,0.00517,50.00,0.00483,50.00,,,,,,,,,1
