Cell_ID,Soil_ID,Mgmt_Field_ID,Reach_ID,Reach_Location_Code,Cell_Area,Time_of_Conc,Avg_Elevation,RCN_Calib_ID,Avg_Land_Slope,Aspect,RUSLE_ls_Fctr,RCN_Rtn_Calib_Fctr,Secondary_Climate_File_ID,Sheet_Flow_Mannings_n,Geology_ID,Conc_Flow_Slope,Conc_Flow_Length,Hydraulic_Geom_ID,Conc_Flow_Hydraulic_Depth,Conc_Flow_Mannings_n,Sheet_Flow_Slope,Sheet_Flow_Length,Shallow_Conc_Flow_Slope,Shallow_Conc_Flow_Length,Delivery_Ratio,Constant_USLE_C_Fctr,Constant_USLE_P_Fctr,All_OC_Calib_Fctr,All_N_Calib_Fctr,All_P_Calib_Fctr,Sheet_and_Rill_Erosion_Calib_Fctr,Gullies_Erosion_Calib_Fctr,Input_Units_Code
143,Cm,,14,1,2.1249,,77.87,,0.04743,280.75,0.374,,,,,0.01512,218.29,,,,0.01519,50.0,0.0068,50.0,,,,,,,,,1
152,LoE3,,15,1,9.1278,,86.43,,0.07312,175.9,0.616,,,,,0.03261,638.88,,,,0.04353,50.0,0.02046,50.0,,,,,,,,,1
153,MnF2,,15,1,16.2522,,84.51,,0.06366,319.22,0.553,,,,,0.01708,1067.74,,,,0.02403,50.0,0.07037,50.0,,,,,,,,,1
161,Gu,,16,0,20.6352,,88.32,,0.0747,185.9,0.637,,,,,0.02367,793.27,,,,0.03367,50.0,0.0444,50.0,,,,,,,,,1
162,Gu,,16,1,11.2383,,88.38,,0.08651,183.43,0.743,,,,,0.03219,583.96,,,,0.03153,50.0,0.04849,50.0,,,,,,,,,1
163,Cm,,16,1,0.837,,79.25,,0.01176,307.18,0.098,,,,,0.00272,36.94,,,,0.004,50.0,0.002,50.0,,,,,,,,,1
172,Cm,,17,1,0.2547,,77.66,,0.13281,173.74,1.071,,,,,1e-05,0.0,,,,0.07583,33.99,1e-05,0.0,,,,,,,,,1
173,Cm,,17,1,0.198,,77.85,,0.19252,345.11,1.517,,,,,1e-05,0.0,,,,0.089,35.96,1e-05,0.0,,,,,,,,,1
182,Cm,,18,1,1.3968,,78.36,,0.17116,180.59,1.338,,,,,1e-05,0.0,,,,0.08999,50.0,1e-05,3.33,,,,,,,,,1
183,Fa,,18,1,3.114,,79.9,,0.07411,327.53,0.578,,,,,0.01936,193.69,,,,0.008,50.0,0.00201,50.0,,,,,,,,,1
192,GrB2,,19,1,1.6542,,83.09,,0.03742,162.17,0.313,,,,,0.02735,378.57,,,,0.06647,50.0,0.07847,50.0,,,,,,,,,1
193,Cm,,19,1,0.099,,79.48,,0.14471,347.39,1.081,,,,,1e-05,0.0,,,,0.10218,35.23,1e-05,0.0,,,,,,,,,1
202,GrB2,,20,1,0.9072,,83.13,,0.07881,115.1,0.589,,,,,0.04314,102.54,,,,0.07047,50.0,0.0754,50.0,,,,,,,,,1
203,GrB2,,20,1,1.197,,83.16,,0.06925,220.56,0.543,,,,,0.02531,126.43,,,,0.01308,50.0,0.01492,50.0,,,,,,,,,1
211,LoE2,,21,0,16.56,,97.18,,0.09859,151.04,0.851,,,,,0.02647,689.79,,,,0.04217,50.0,0.04762,50.0,,,,,,,,,1
212,LoE2,,21,1,1.017,,87.02,,0.142,72.69,1.184,,,,,0.22052,3.0,,,,0.0781,50.0,0.03065,50.0,,,,,,,,,1
213,LoE2,,21,1,1.2015,,87.06,,0.08393,177.22,0.684,,,,,0.02983,122.51,,,,0.06034,50.0,0.07859,50.0,,,,,,,,,1
221,Gu,,22,0,16.1433,,98.53,,0.12387,181.31,1.071,,,,,0.02821,718.14,,,,0.024,50.0,0.012,50.0,,,,,,,,,1
222,LoE2,,22,1,1.0503,,88.51,,0.12199,121.93,0.999,,,,,0.18147,7.35,,,,0.07897,50.0,0.06503,50.0,,,,,,,,,1
223,Gu,,22,1,3.9951,,89.88,,0.13434,213.93,1.124,,,,,0.02614,250.26,,,,0.11406,50.0,0.10709,50.0,,,,,,,,,1
232,Cm,,23,1,0.0657,,79.13,,0.14786,194.24,1.023,,,,,1e-05,0.0,,,,0.13396,29.85,1e-05,0.0,,,,,,,,,1
233,Cm,,23,1,0.1377,,80.14,,0.1369,15.55,1.142,,,,,1e-05,0.0,,,,0.09109,40.61,1e-05,0.0,,,,,,,,,1
241,LoE3,,24,0,16.2369,,94.26,,0.09393,152.99,0.782,,,,,0.02421,757.18,,,,0.03665,50.0,0.0718,50.0,,,,,,,,,1
242,Fa,,24,1,11.2986,,83.47,,0.02278,173.47,0.203,,,,,0.01713,516.29,,,,0.11077,50.0,0.08434,50.0,,,,,,,,,1
243,Cm,,24,1,6.1902,,83.15,,0.02015,238.6,0.176,,,,,0.01006,318.04,,,,0.01885,50.0,0.02715,50.0,,,,,,,,,1
252,Cm,,25,1,1.6371,,80.65,,0.18266,157.95,1.38,,,,,1e-05,0.0,,,,0.07634,50.0,0.20407,1.47,,,,,,,,,1
253,MnF2,,25,1,23.2371,,90.38,,0.07776,303.55,0.666,,,,,0.02701,820.46,,,,0.02038,50.0,0.04047,50.0,,,,,,,,,1
262,CaB,,26,1,8.1927,,86.2,,0.06446,174.05,0.515,,,,,0.021,617.37,,,,0.06004,50.0,0.0777,50.0,,,,,,,,,1
263,Cm,,26,1,1.1781,,83.16,,0.12401,290.07,0.993,,,,,0.08417,30.11,,,,0.008,50.0,0.03383,50.0,,,,,,,,,1
272,GrC3,,27,1,6.6015,,88.61,,0.0465,137.59,0.39,,,,,0.02886,403.94,,,,0.05453,50.0,0.07053,50.0,,,,,,,,,1
273,Fa,,27,1,9.4095,,91.49,,0.07743,310.06,0.641,,,,,0.02454,504.59,,,,0.04708,50.0,0.0493,50.0,,,,,,,,,1
281,LoB2,,28,0,15.1173,,101.38,,0.07801,145.57,0.681,,,,,0.02481,547.51,,,,0.01919,50.0,0.02119,50.0,,,,,,,,,1
282,Co,,28,1,2.277,,91.37,,0.08918,49.73,0.734,,,,,0.06078,122.19,,,,0.05402,50.0,0.06663,50.0,,,,,,,,,1
283,LoE3,,28,1,14.1606,,97.01,,0.08835,168.79,0.769,,,,,0.02372,813.52,,,,0.02203,50.0,0.02997,50.0,,,,,,,,,1
292,Cm,,29,1,12.2121,,89.63,,0.04662,139.64,0.395,,,,,0.02708,414.49,,,,0.04477,50.0,0.09468,50.0,,,,,,,,,1
293,Fa,,29,1,15.012,,92.51,,0.0614,278.34,0.512,,,,,0.02561,489.06,,,,0.046,50.0,0.06149,50.0,,,,,,,,,1
301,Gu,,30,0,15.039,,100.49,,0.08121,141.23,0.688,,,,,0.02399,581.99,,,,0.008,50.0,0.03473,50.0,,,,,,,,,1
302,Gu,,30,1,16.6491,,98.99,,0.09218,113.43,0.784,,,,,0.02304,768.33,,,,0.02274,50.0,0.01126,50.0,,,,,,,,,1
303,Cm,,30,1,2.8863,,90.05,,0.05125,199.53,0.426,,,,,0.01883,127.26,,,,0.01943,50.0,0.01057,50.0,,,,,,,,,1
312,Cm,,31,1,13.707,,93.29,,0.06697,176.57,0.545,,,,,0.0189,602.14,,,,0.02602,50.0,0.15436,50.0,,,,,,,,,1
313,Gu,,31,1,16.5411,,96.71,,0.09346,326.96,0.781,,,,,0.02851,651.61,,,,0.03719,50.0,0.02323,50.0,,,,,,,,,1
322,Cm,,32,1,2.2887,,90.47,,0.07128,150.39,0.554,,,,,0.0184,239.21,,,,0.03,50.0,0.04799,50.0,,,,,,,,,1
323,Cm,,32,1,3.5955,,91.49,,0.05012,236.06,0.421,,,,,0.02314,319.51,,,,0.0882,50.0,0.07263,50.0,,,,,,,,,1
331,Gu,,33,0,15.0003,,101.41,,0.08485,152.83,0.731,,,,,0.01909,811.98,,,,0.02626,50.0,0.00974,50.0,,,,,,,,,1
332,Cm,,33,1,0.1458,,90.28,,0.12497,86.9,0.861,,,,,1e-05,0.0,,,,0.044,50.0,1e-05,5.82,,,,,,,,,1
333,Cm,,33,1,0.1611,,91.36,,0.10438,207.86,0.8,,,,,1e-05,0.0,,,,0.03836,50.0,0.05769,25.68,,,,,,,,,1
342,Cm,,34,1,1.6587,,91.77,,0.06685,144.3,0.526,,,,,0.02995,192.66,,,,0.085,50.0,0.03958,50.0,,,,,,,,,1
343,Cm,,34,1,1.1853,,92.69,,0.09707,287.23,0.801,,,,,0.08444,83.6,,,,0.06228,50.0,0.07453,50.0,,,,,,,,,1
351,Gu,,35,0,15.0705,,104.2,,0.06424,202.37,0.546,,,,,0.0188,678.7,,,,0.02285,50.0,0.02494,50.0,,,,,,,,,1
352,Gu,,35,1,3.4245,,98.24,,0.10831,90.62,0.941,,,,,0.04944,91.67,,,,0.08196,50.0,0.05677,50.0,,,,,,,,,1
353,Gu,,35,1,5.1165,,96.85,,0.08724,214.56,0.732,,,,,0.02997,364.19,,,,0.041,50.0,0.06272,50.0,,,,,,,,,1
362,LoD2,,36,1,3.5586,,96.49,,0.10856,143.2,0.909,,,,,0.04349,249.15,,,,0.049,50.0,0.06831,50.0,,,,,,,,,1
363,LoD2,,36,1,11.0187,,97.98,,0.08849,310.57,0.742,,,,,0.02705,525.06,,,,0.07135,50.0,0.01665,50.0,,,,,,,,,1
371,LoC3,,37,0,27.1485,,105.04,,0.04929,200.27,0.42,,,,,0.01159,635.05,,,,0.0265,50.0,0.04636,50.0,,,,,,,,,1
372,LoD3,,37,1,8.8389,,103.03,,0.0778,123.27,0.659,,,,,0.02628,315.87,,,,0.02285,50.0,0.03315,50.0,,,,,,,,,1
373,Gu,,37,1,4.5657,,99.16,,0.09061,285.58,0.739,,,,,1e-05,89.4,,,,0.04797,50.0,1e-05,50.0,,,,,,,,,1
382,Cm,,38,1,4.5099,,97.46,,0.07248,178.35,0.602,,,,,0.02925,220.16,,,,0.0475,50.0,0.07999,50.0,,,,,,,,,1
383,Gu,,38,1,6.5601,,100.95,,0.07646,319.72,0.609,,,,,0.0229,510.98,,,,0.02,50.0,0.012,50.0,,,,,,,,,1
391,LoC3,,39,0,15.1155,,108.2,,0.045,224.39,0.387,,,,,0.01591,665.45,,,,0.03001,50.0,0.02026,50.0,,,,,,,,,1
392,Gu,,39,1,11.4363,,102.36,,0.08293,155.33,0.682,,,,,0.02866,396.25,,,,0.012,50.0,0.03287,50.0,,,,,,,,,1
393,Gu,,39,1,10.7424,,103.59,,0.06732,269.28,0.55,,,,,0.0294,407.65,,,,0.02388,50.0,0.04236,50.0,,,,,,,,,1
401,Gu,,40,0,16.2891,,111.79,,0.0565,254.85,0.482,,,,,0.02004,571.96,,,,0.02886,50.0,0.03152,50.0,,,,,,,,,1
402,LoC3,,40,1,21.0978,,106.39,,0.0576,194.85,0.483,,,,,0.02401,561.59,,,,0.03651,50.0,0.02386,50.0,,,,,,,,,1
403,LoC3,,40,1,32.8941,,104.03,,0.06185,321.68,0.515,,,,,0.02094,681.93,,,,0.04541,50.0,0.03893,50.0,,,,,,,,,1
