Soil_ID,Layer_Number,Layer_Depth,Bulk_Density,Clay_Ratio,Silt_Ratio,Sand_Ratio,Rock_Ratio,Very_Fine_Sand_Ratio,CaCO3_Content,Saturated_Conductivity,Field_Capacity,Wilting_Point,Volcanic_Code,Base_Saturation,Unstable_Aggregate_Ratio,pH,Organic_Matter_Ratio,Organic_N_Ratio,Inorganic_N_Ratio,Organic_P_Ratio,Inorganic_P_Ratio,Soil_Structure_Code,Input_Units_Code
Fw,     2, 1270.0000,    1.4100,    0.1200,    0.6730,    0.2070,,    0.1330,    0.0000,   33.0120,    0.2460,    0.0870,,,,    5.0000,    0.0175,,,,,,1
Fw,     3, 1520.0000,    1.5500,    0.1400,    0.8040,    0.0560,,    0.0340,    0.0000,   33.0120,    0.2480,    0.0900,,,,    5.0000,    0.0050,,,,,,1
Fw,     4, 1650.0000,    1.4400,    0.1900,    0.6940,    0.1160,,    0.0670,    0.0000,   26.1720,    0.2640,    0.1070,,,,    5.0000,    0.0020,,,,,,1
GrA,     1,  180.0000,    1.5200,    0.1400,    0.7180,    0.1420,,    0.0860,    0.0000,   33.0120,    0.2560,    0.0980,,,,    5.3000,    0.0125,,,,,,1
GrA,     2,  430.0000,    1.5500,    0.1850,    0.6980,    0.1170,,    0.0670,    0.0000,   10.1520,    0.2910,    0.1400,,,,    4.8000,    0.0225,,,,,,1
GrA,     3,  560.0000,    1.5200,    0.2400,    0.6670,    0.0930,,    0.0650,    0.0000,   33.0120,    0.2920,    0.1420,,,,    5.3000,    0.0025,,,,,,1
GrA,     4,  690.0000,    1.5000,    0.1400,    0.7180,    0.1420,,    0.0860,    0.0000,   33.0120,    0.2400,    0.0820,,,,    5.3000,    0.0015,,,,,,1
GrA,     5,  760.0000,    1.7100,    0.2850,    0.6440,    0.0710,,    0.0290,    0.0000,    3.3120,    0.3180,    0.1810,,,,    4.6000,    0.0075,,,,,,1
GrA,     6,  970.0000,    1.6000,    0.2800,    0.6500,    0.0700,,    0.0290,    0.0000,    3.3120,    0.3130,    0.1730,,,,    5.3000,    0.0010,,,,,,1
GrA,     7, 1630.0000,    1.6000,    0.2350,    0.6710,    0.0940,,    0.0660,    0.0000,    3.3120,    0.2940,    0.1450,,,,    6.2000,    0.0010,,,,,,1
GrA,     8, 1830.0000,    1.6200,    0.2000,    0.6860,    0.1140,,    0.0660,    0.0000,   10.1520,    0.2810,    0.1280,,,,    5.7000,    0.0025,,,,,,1
GrB,     1,  180.0000,    1.5200,    0.1400,    0.7180,    0.1420,,    0.0860,    0.0000,   33.0120,    0.2560,    0.0980,,,,    5.3000,    0.0125,,,,,,1
GrB,     2,  580.0000,    1.5200,    0.2400,    0.6670,    0.0930,,    0.0650,    0.0000,   33.0120,    0.2930,    0.1430,,,,    5.3000,    0.0030,,,,,,1
GrB,     3,  660.0000,    1.5000,    0.1400,    0.7180,    0.1420,,    0.0860,    0.0000,   33.0120,    0.2410,    0.0830,,,,    5.3000,    0.0020,,,,,,1
GrB,     4, 1120.0000,    1.6000,    0.2350,    0.6710,    0.0940,,    0.0660,    0.0000,    3.3120,    0.2940,    0.1450,,,,    5.3000,    0.0010,,,,,,1
GrB,     5, 1520.0000,    1.6000,    0.2350,    0.6710,    0.0940,,    0.0660,    0.0000,    3.3120,    0.2940,    0.1450,,,,    6.2000,    0.0010,,,,,,1
GrB2,     1,  130.0000,    1.5200,    0.1400,    0.7180,    0.1420,,    0.0860,    0.0000,   33.0120,    0.2560,    0.0980,,,,    5.3000,    0.0125,,,,,,1
GrB2,     2,  530.0000,    1.5200,    0.2400,    0.6670,    0.0930,,    0.0650,    0.0000,   33.0120,    0.2930,    0.1430,,,,    5.3000,    0.0030,,,,,,1
GrB2,     3,  610.0000,    1.5000,    0.1400,    0.7180,    0.1420,,    0.0860,    0.0000,   33.0120,    0.2410,    0.0830,,,,    5.3000,    0.0020,,,,,,1
GrB2,     4, 1070.0000,    1.6000,    0.2350,    0.6710,    0.0940,,    0.0660,    0.0000,    3.3120,    0.2940,    0.1450,,,,    5.3000,    0.0010,,,,,,1
GrB2,     5, 1520.0000,    1.6000,    0.2350,    0.6710,    0.0940,,    0.0660,    0.0000,    3.3120,    0.2940,    0.1450,,,,    6.2000,    0.0010,,,,,,1
GrB3,     1,  130.0000,    1.5200,    0.1400,    0.7180,    0.1420,,    0.0860,    0.0000,   33.0120,    0.2560,    0.0980,,,,    5.3000,    0.0125,,,,,,1
GrB3,     2,  530.0000,    1.5200,    0.2400,    0.6670,    0.0930,,    0.0650,    0.0000,   33.0120,    0.2930,    0.1430,,,,    5.3000,    0.0030,,,,,,1
GrB3,     3,  610.0000,    1.5000,    0.1400,    0.7180,    0.1420,,    0.0860,    0.0000,   33.0120,    0.2410,    0.0830,,,,    5.3000,    0.0020,,,,,,1
GrB3,     4, 1070.0000,    1.6000,    0.2350,    0.6710,    0.0940,,    0.0660,    0.0000,    3.3120,    0.2940,    0.1450,,,,    5.3000,    0.0010,,,,,,1
GrB3,     5, 1520.0000,    1.6000,    0.2350,    0.6710,    0.0940,,    0.0660,    0.0000,    3.3120,    0.2940,    0.1450,,,,    6.2000,    0.0010,,,,,,1
GrC2,     1,  130.0000,    1.5200,    0.1400,    0.7180,    0.1420,,    0.0860,    0.0000,   33.0120,    0.2560,    0.0980,,,,    5.3000,    0.0125,,,,,,1
GrC2,     2,  530.0000,    1.5200,    0.2400,    0.6670,    0.0930,,    0.0650,    0.0000,   33.0120,    0.2930,    0.1430,,,,    5.3000,    0.0030,,,,,,1
GrC2,     3,  610.0000,    1.5000,    0.1400,    0.7180,    0.1420,,    0.0860,    0.0000,   33.0120,    0.2410,    0.0830,,,,    5.3000,    0.0020,,,,,,1
GrC2,     4, 1070.0000,    1.6000,    0.2350,    0.6710,    0.0940,,    0.0660,    0.0000,    3.3120,    0.2940,    0.1450,,,,    5.3000,    0.0010,,,,,,1
GrC2,     5, 1520.0000,    1.6000,    0.2350,    0.6710,    0.0940,,    0.0660,    0.0000,    3.3120,    0.2940,    0.1450,,,,    6.2000,    0.0010,,,,,,1
GrC3,     1,   80.0000,    1.5200,    0.1400,    0.7180,    0.1420,,    0.0860,    0.0000,   33.0120,    0.2560,    0.0980,,,,    5.3000,    0.0125,,,,,,1
GrC3,     2,  130.0000,    1.5200,    0.1200,    0.6730,    0.2070,,    0.1330,    0.0000,   33.0120,    0.2550,    0.0970,,,,    5.0000,    0.0200,,,,,,1
GrC3,     3,  480.0000,    1.5200,    0.2400,    0.6670,    0.0930,,    0.0650,    0.0000,   33.0120,    0.2930,    0.1430,,,,    5.3000,    0.0030,,,,,,1
GrC3,     4,  560.0000,    1.5000,    0.1400,    0.7180,    0.1420,,    0.0860,    0.0000,   33.0120,    0.2410,    0.0830,,,,    5.3000,    0.0020,,,,,,1
GrC3,     5, 1020.0000,    1.6000,    0.2350,    0.6710,    0.0940,,    0.0660,    0.0000,    3.3120,    0.2940,    0.1450,,,,    5.3000,    0.0010,,,,,,1
GrC3,     6, 1520.0000,    1.6000,    0.2350,    0.6710,    0.0940,,    0.0660,    0.0000,    3.3120,    0.2940,    0.1450,,,,    6.2000,    0.0010,,,,,,1
GrD2,     1,  130.0000,    1.5200,    0.1400,    0.7180,    0.1420,,    0.0860,    0.0000,   33.0120,    0.2560,    0.0980,,,,    5.3000,    0.0125,,,,,,1
GrD2,     2,  530.0000,    1.5200,    0.2400,    0.6670,    0.0930,,    0.0650,    0.0000,   33.0120,    0.2930,    0.1430,,,,    5.3000,    0.0030,,,,,,1
GrD2,     3,  610.0000,    1.5000,    0.1400,    0.7180,    0.1420,,    0.0860,    0.0000,   33.0120,    0.2410,    0.0830,,,,    5.3000,    0.0020,,,,,,1
GrD2,     4, 1070.0000,    1.6000,    0.2350,    0.6710,    0.0940,,    0.0660,    0.0000,    3.3120,    0.2940,    0.1450,,,,    5.3000,    0.0010,,,,,,1
GrD2,     5, 1520.0000,    1.6000,    0.2350,    0.6710,    0.0940,,    0.0660,    0.0000,    3.3120,    0.2940,    0.1450,,,,    6.2000,    0.0010,,,,,,1
GrD3,     1,  130.0000,    1.5200,    0.1400,    0.7180,    0.1420,,    0.0860,    0.0000,   33.0120,    0.2560,    0.0980,,,,    5.3000,    0.0125,,,,,,1
GrD3,     2,  530.0000,    1.5200,    0.2400,    0.6670,    0.0930,,    0.0650,    0.0000,   33.0120,    0.2930,    0.1430,,,,    5.3000,    0.0030,,,,,,1
GrD3,     3,  610.0000,    1.5000,    0.1400,    0.7180,    0.1420,,    0.0860,    0.0000,   33.0120,    0.2410,    0.0830,,,,    5.3000,    0.0020,,,,,,1
GrD3,     4, 1070.0000,    1.6000,    0.2350,    0.6710,    0.0940,,    0.0660,    0.0000,    3.3120,    0.2940,    0.1450,,,,    5.3000,    0.0010,,,,,,1
GrD3,     5, 1520.0000,    1.6000,    0.2350,    0.6710,    0.0940,,    0.0660,    0.0000,    3.3120,    0.2940,    0.1450,,,,    6.2000,    0.0010,,,,,,1
Gs,     1,  150.0000,    1.6000,    0.1000,    0.5710,    0.3290,    0.0700,    0.1010,    0.0000,   33.0120,    0.2370,    0.0860,,,,    4.6000,    0.0200,,,,,,1
Gs,     2, 1520.0000,    1.6900,    0.1000,    0.2340,    0.6660,    0.1200,    0.1190,    0.0000,   33.0120,    0.1880,    0.0610,,,,    4.6000,    0.0075,,,,,,1
Gu,     1,  130.0000,    1.5200,    0.1200,    0.6730,    0.2070,,    0.1330,    0.0000,   33.0120,    0.2550,    0.0970,,,,    5.0000,    0.0200,,,,,,1
Gu,     2, 1520.0000,    1.5500,    0.1400,    0.7180,    0.1420,,    0.0860,    0.0000,   33.0120,    0.1820,    0.0850,,,,    5.0000,    0.0015,,,,,,1
He,     1,  230.0000,    1.4600,    0.1350,    0.7230,    0.1420,,    0.0860,    0.0000,   33.0120,    0.2500,    0.0920,,,,    5.0000,    0.0125,,,,,,1
He,     2,  790.0000,    1.5200,    0.1500,    0.7100,    0.1400,,    0.0850,    0.0000,   33.0120,    0.2520,    0.0940,,,,    5.0000,    0.0050,,,,,,1
He,     3, 1520.0000,    1.6000,    0.2500,    0.6760,    0.0740,,    0.0520,    0.0000,    3.3120,    0.3020,    0.1570,,,,    5.0000,    0.0030,,,,,,1
He,     4, 2030.0000,    1.5200,    0.1400,    0.8040,    0.0560,,    0.0340,    0.0000,   10.1520,    0.2410,    0.0830,,,,    6.5000,    0.0010,,,,,,1
LoB2,     1,  130.0000,    1.4200,    0.1800,    0.7700,    0.0500,,    0.0290,    0.0000,   33.0120,    0.2740,    0.1190,,,,    5.3000,    0.0150,,,,,,1
LoB2,     2,  150.0000,    1.5200,    0.0900,    0.7300,    0.1800,,    0.0270,    0.0000,   33.0120,    0.2380,    0.0800,,,,    5.3000,    0.0180,,,,,,1
LoB2,     3,  270.0000,    1.4200,    0.1100,    0.7400,    0.1500,,    0.0300,    0.0000,   33.0120,    0.2350,    0.0770,,,,    5.0000,    0.0120,,,,,,1
LoB2,     4,  510.0000,    1.5800,    0.2750,    0.6340,    0.0910,,    0.0640,    0.0000,   33.0120,    0.3080,    0.1660,,,,    5.3000,    0.0025,,,,,,1
LoB2,     5,  560.0000,    1.4700,    0.2400,    0.6900,    0.0700,,    0.0490,    0.0000,   33.0120,    0.2890,    0.1380,,,,    5.0000,    0.0025,,,,,,1
LoB2,     6,  640.0000,    1.5600,    0.1200,    0.7380,    0.1420,,    0.0860,    0.0000,   33.0120,    0.2340,    0.0760,,,,    5.0000,    0.0020,,,,,,1
LoB2,     7,  690.0000,    1.5100,    0.2700,    0.7100,    0.0200,,    0.0100,    0.0000,   33.0120,    0.2920,    0.1420,,,,    5.2000,    0.0030,,,,,,1
LoB2,     8,  910.0000,    1.6300,    0.2200,    0.6900,    0.0900,,    0.0050,    0.0000,    0.7560,    0.2910,    0.1400,,,,    5.1000,    0.0010,,,,,,1
LoB2,     9, 1320.0000,    1.7400,    0.2400,    0.4600,    0.3000,,    0.0400,    0.0000,    0.7560,    0.3060,    0.1620,,,,    5.4000,    0.0010,,,,,,1
LoB2,    10, 1420.0000,    1.5800,    0.1900,    0.7900,    0.0200,,    0.0100,    0.0000,    0.7560,    0.2730,    0.1180,,,,    5.2000,    0.0009,,,,,,1
LoB2,    11, 1500.0000,    1.5600,    0.2300,    0.7640,    0.0060,,    0.0060,    0.0000,   32.4000,    0.2840,    0.1310,,,,    5.0000,    0.0018,,,,,,1
LoB2,    12, 1780.0000,    1.6400,    0.1400,    0.7180,    0.1420,,    0.0860,    0.0000,    0.7560,    0.2500,    0.0920,,,,    5.0000,    0.0010,,,,,,1
LoB2,    13, 1830.0000,    1.6900,    0.5900,    0.4100,    0.0000,,    0.0000,    0.0000,    0.7560,    0.3550,    0.3150,,,,    7.3000,    0.0010,,,,,,1
LoB2,    14, 2000.0000,    1.5400,    0.2000,    0.7880,    0.0120,,    0.0120,    0.0000,   32.4000,    0.2690,    0.1130,,,,    5.2000,    0.0009,,,,,,1
