Soil_ID,Layer_Number,Layer_Depth,Bulk_Density,Clay_Ratio,Silt_Ratio,Sand_Ratio,Rock_Ratio,Very_Fine_Sand_Ratio,CaCO3_Content,Saturated_Conductivity,Field_Capacity,Wilting_Point,Volcanic_Code,Base_Saturation,Unstable_Aggregate_Ratio,pH,Organic_Matter_Ratio,Organic_N_Ratio,Inorganic_N_Ratio,Organic_P_Ratio,Inorganic_P_Ratio,Soil_Structure_Code,Input_Units_Code
Cb,     3,  640.0000,    0.7500,  999.0000,  999.0000,  999.0000,    0.0500,,    0.0000,   78.1200,    0.5370,    0.1170,,,,,    0.6500,,,,,,1
Cb,     4,  860.0000,    1.8300,    0.4200,    0.4200,    0.1600,    0.0400,    0.0400,    0.0000,   10.1520,    0.3110,    0.2420,,,,    6.9000,    0.0150,,,,,,1
Cb,     5,  900.0000,    0.7500,  999.0000,  999.0000,  999.0000,    0.1400,,    0.0000,   78.1200,    0.5570,    0.1420,,,,,    0.8500,,,,,,1
Cb,     6, 1200.0000,    1.8900,    0.4200,    0.4200,    0.1600,    0.0400,    0.0400,    0.0000,   10.1520,    0.2910,    0.2060,,,,    7.2000,    0.0100,,,,,,1
Cb,     7, 1450.0000,    1.9000,    0.3500,    0.4400,    0.2100,    0.0700,    0.0600,    0.1500,   10.1520,    0.3040,    0.2310,,,,    7.4000,    0.0075,,,,,,1
Cb,     8, 2000.0000,    1.9000,    0.3300,    0.4400,    0.2300,    0.0700,    0.0600,    0.2300,   10.1520,    0.3160,    0.2150,,,,    7.8000,    0.0050,,,,,,1
CyA,     1,  310.0000,    1.4700,    0.1600,    0.4020,    0.4380,    0.1100,    0.1230,    0.0000,   33.0120,    0.2520,    0.1080,,,,    6.2000,    0.0200,,,,,,1
CyA,     2, 1270.0000,    1.5100,    0.2800,    0.3760,    0.3440,    0.1400,    0.1030,    0.0000,   33.0120,    0.2730,    0.1540,,,,    6.2000,    0.0075,,,,,,1
Dc,     1,  200.0000,    1.6300,    0.4400,    0.4860,    0.0740,,    0.0370,    0.0000,    3.3120,    0.3330,    0.2690,,,,    7.0000,    0.0250,,,,,,1
Dc,     2, 1270.0000,    1.6500,    0.4250,    0.4980,    0.0770,,    0.0370,    0.0000,    2.5560,    0.3180,    0.2410,,,,    7.0000,    0.0075,,,,,,1
Dc,     3, 1520.0000,    1.7100,    0.4750,    0.4700,    0.0550,,    0.0270,    0.0500,    2.5560,    0.3310,    0.2650,,,,    7.2000,    0.0030,,,,,,1
DdA,     1,  180.0000,    1.4600,    0.2100,    0.5270,    0.2630,    0.0400,    0.0860,    0.0000,   33.0120,    0.2930,    0.1480,,,,    5.9000,    0.0250,,,,,,1
DdA,     2,  460.0000,    1.7500,    0.4000,    0.4220,    0.1780,    0.0400,    0.0850,    0.0500,    3.3120,    0.3060,    0.2240,,,,    6.5000,    0.0050,,,,,,1
DdA,     3, 1520.0000,    1.8300,    0.3000,    0.5350,    0.1650,    0.0400,    0.1010,    0.2500,    3.3120,    0.3200,    0.1900,,,,    8.2000,    0.0010,,,,,,1
DeA,     1,  180.0000,    1.4600,    0.2500,    0.5450,    0.2050,    0.0400,    0.0860,    0.0000,   33.0120,    0.3080,    0.1690,,,,    5.8000,    0.0250,,,,,,1
DeA,     2, 1020.0000,    1.6600,    0.3900,    0.5260,    0.0840,    0.0400,    0.0290,    0.0500,    3.3120,    0.3420,    0.2290,,,,    7.0000,    0.0050,,,,,,1
DeA,     3, 1120.0000,    1.7700,    0.2600,    0.5410,    0.1990,    0.0400,    0.0860,    0.0300,    3.3120,    0.3020,    0.1600,,,,    7.0000,    0.0010,,,,,,1
DeA,     4, 1520.0000,    1.9700,    0.3400,    0.3070,    0.3530,    0.1200,    0.1060,    0.2300,    3.3120,    0.2950,    0.2220,,,,    7.9000,    0.0010,,,,,,1
DgA,     1,  250.0000,    1.4600,    0.2250,    0.5270,    0.2480,    0.0400,    0.0990,    0.0000,   33.0120,    0.2990,    0.1560,,,,    5.9000,    0.0250,,,,,,1
DgA,     2,  760.0000,    1.7500,    0.3900,    0.5390,    0.0710,    0.0400,    0.0250,    0.0500,    3.3120,    0.3490,    0.2420,,,,    6.5000,    0.0050,,,,,,1
DgA,     3, 1520.0000,    1.8300,    0.3000,    0.5000,    0.2000,    0.0400,    0.1220,    0.2200,    3.3120,    0.3200,    0.1900,,,,    8.2000,    0.0010,,,,,,1
DmA,     1,  200.0000,    1.3600,    0.1600,    0.4020,    0.4380,    0.1100,    0.1230,    0.0000,   33.0120,    0.2610,    0.1140,,,,    6.5000,    0.0300,,,,,,1
DmA,     2,  760.0000,    1.6600,    0.2650,    0.2500,    0.4850,    0.1400,    0.0980,    0.0000,   33.0120,    0.2350,    0.1690,,,,    6.2000,    0.0075,,,,,,1
DmA,     3, 1120.0000,    1.6600,    0.2700,    0.3780,    0.3520,    0.1400,    0.1050,    0.0000,   33.0120,    0.2920,    0.1720,,,,    6.2000,    0.0075,,,,,,1
DmA,     4, 1520.0000,    1.4800,    0.0900,    0.1000,    0.8100,    0.1800,    0.0500,    0.2000,  330.2640,    0.1280,    0.0470,,,,    7.9000,    0.0020,,,,,,1
DmB,     1,  200.0000,    1.3600,    0.1600,    0.4020,    0.4380,    0.1100,    0.1230,    0.0000,   33.0120,    0.2610,    0.1140,,,,    6.5000,    0.0300,,,,,,1
DmB,     2,  760.0000,    1.6600,    0.2650,    0.2500,    0.4850,    0.1400,    0.0980,    0.0000,   33.0120,    0.2350,    0.1690,,,,    6.2000,    0.0075,,,,,,1
DmB,     3, 1070.0000,    1.6600,    0.2700,    0.3780,    0.3520,    0.1400,    0.1050,    0.0000,   33.0120,    0.2920,    0.1720,,,,    6.2000,    0.0075,,,,,,1
DmB,     4, 1520.0000,    1.4800,    0.0900,    0.1000,    0.8100,    0.1800,    0.0500,    0.2000,  330.2640,    0.1280,    0.0470,,,,    7.9000,    0.0020,,,,,,1
DoA,     1,  200.0000,    1.3900,    0.2250,    0.5510,    0.2240,    0.1000,    0.0890,    0.0000,   33.0120,    0.2860,    0.1440,,,,    6.2000,    0.0250,,,,,,1
DoA,     2,  760.0000,    1.7800,    0.4000,    0.3000,    0.3000,    0.1100,    0.0830,    0.0000,    3.3120,    0.2940,    0.2170,,,,    6.5000,    0.0075,,,,,,1
DoA,     3, 1140.0000,    1.5500,    0.1900,    0.1590,    0.6510,    0.1300,    0.0950,    0.0200,   83.8440,    0.1990,    0.1140,,,,    7.5000,    0.0035,,,,,,1
DoA,     4, 1520.0000,    1.5100,    0.1000,    0.0890,    0.8110,    0.1400,    0.1180,    0.1000,  330.2640,    0.1390,    0.0570,,,,    8.2000,    0.0020,,,,,,1
DuA,     1,  180.0000,    1.4600,    0.2500,    0.5450,    0.2050,    0.0400,    0.0860,    0.0000,   33.0120,    0.3080,    0.1690,,,,    5.8000,    0.0250,,,,,,1
